要素番号	点番号	x	y	z
0	0	7.64E-01	-1.20E+00	-9.16E-01
0	1	3.09E+00	-1.20E+00	-9.16E-01
0	2	5.42E+00	-1.20E+00	-9.16E-01
0	3	7.64E-01	-4.07E-16	-9.16E-01
0	4	3.09E+00	-4.19E-16	-9.16E-01
0	5	5.42E+00	-4.06E-16	-9.16E-01
0	6	7.64E-01	1.20E+00	-9.16E-01
0	7	3.09E+00	1.20E+00	-9.16E-01
0	8	5.42E+00	1.20E+00	-9.16E-01
0	9	1.20E+00	-1.20E+00	-6.24E-16
0	10	3.45E+00	-1.20E+00	-6.24E-16
0	11	5.42E+00	-1.20E+00	-6.24E-16
0	12	1.20E+00	-5.09E-16	-6.24E-16
0	13	3.45E+00	-5.50E-16	-6.24E-16
0	14	5.42E+00	-5.29E-16	-6.24E-16
0	15	1.20E+00	1.20E+00	-6.24E-16
0	16	3.45E+00	1.20E+00	-6.24E-16
0	17	5.42E+00	1.20E+00	-6.24E-16
0	18	7.64E-01	-1.20E+00	9.16E-01
0	19	3.09E+00	-1.20E+00	9.16E-01
0	20	5.42E+00	-1.20E+00	9.16E-01
0	21	7.64E-01	-4.68E-16	9.16E-01
0	22	3.09E+00	-4.85E-16	9.16E-01
0	23	5.42E+00	-4.81E-16	9.16E-01
0	24	7.64E-01	1.20E+00	9.16E-01
0	25	3.09E+00	1.20E+00	9.16E-01
0	26	5.42E+00	1.20E+00	9.16E-01
