要素番号	点番号	x	y	z
0	0	7.639999999466062e-01	-1.200000000000000e+00	-9.160000000453747e-01
0	1	3.090000000091989e+00	-1.200000000000000e+00	-9.159999999945665e-01
0	2	5.419999999943536e+00	-1.200000000000000e+00	-9.159999999949916e-01
0	3	7.639999999466055e-01	-4.004426244738172e-16	-9.160000000453742e-01
0	4	3.090000000091992e+00	-5.169059978521600e-16	-9.159999999945638e-01
0	5	5.419999999943537e+00	-5.392727161878503e-16	-9.159999999949983e-01
0	6	7.639999999466056e-01	1.200000000000000e+00	-9.160000000453744e-01
0	7	3.090000000091991e+00	1.200000000000000e+00	-9.159999999945641e-01
0	8	5.419999999943535e+00	1.200000000000000e+00	-9.159999999949983e-01
0	9	1.199999999999998e+00	-1.200000000000000e+00	-6.235400849261922e-16
0	10	3.450000000065482e+00	-1.200000000000000e+00	-5.099642565525731e-14
0	11	5.419999999943825e+00	-1.200000000000000e+00	-9.523381271681652e-14
0	12	1.199999999999999e+00	-5.093444740833126e-16	-6.032268400160786e-16
0	13	3.450000000065483e+00	-5.417815457347979e-16	-5.104022580894466e-14
0	14	5.419999999943835e+00	-5.334204088142202e-16	-9.548027978135033e-14
0	15	1.199999999999998e+00	1.200000000000000e+00	-6.235400849261922e-16
0	16	3.450000000065482e+00	1.200000000000000e+00	-5.099642565525731e-14
0	17	5.419999999943825e+00	1.200000000000000e+00	-9.523381271681652e-14
0	18	7.639999999466057e-01	-1.200000000000000e+00	9.160000000453741e-01
0	19	3.090000000091992e+00	-1.200000000000000e+00	9.159999999945648e-01
0	20	5.419999999943535e+00	-1.200000000000000e+00	9.159999999949924e-01
0	21	7.639999999466064e-01	-4.783689102240268e-16	9.160000000453740e-01
0	22	3.090000000091989e+00	-5.602773497176071e-16	9.159999999945635e-01
0	23	5.419999999943531e+00	-5.582821757166654e-16	9.159999999949944e-01
0	24	7.639999999466059e-01	1.200000000000000e+00	9.160000000453739e-01
0	25	3.090000000091992e+00	1.200000000000000e+00	9.159999999945616e-01
0	26	5.419999999943533e+00	1.200000000000000e+00	9.159999999949944e-01
